variable,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,mean,sd
qual_L3,0.020683978139525917,0.0212344911441138,0.022599415974918085,0.02141450055101051,0.023069319614121488,0.022853406741677077,0.01981942701944223,0.024390073382506504,0.020035105647593077,0.027019278029681463,0.022311899624459015,0.00219697446656422
qual_L4,0.09465628874667623,0.04521142559917914,0.07720562438411532,0.08685510491082725,0.05821814968648292,0.038577479150596394,0.07205821083977272,0.08297411527710563,0.05941220639747779,0.047186060539813654,0.0662354665532047,0.0192873947859811
qual_other,0.013611732968453359,0.013423728098856615,0.012322488326846119,0.013694172211444389,0.014545899478948765,0.00905784145386919,0.012081177290064292,0.01608457214458495,0.014317206324282097,0.00907719595974188,0.012821601425709168,0.002275206048496809
SEC_L1toL6,0.1774897411227151,0.13065049231302964,0.1264868919785309,0.12066133353065873,0.13387736771580325,0.15348959371772636,0.13729463166451575,0.12638287708889917,0.11413904740929262,0.15321826594817295,0.13736902424893443,0.01896187403174299
SEC_L7toL9,0.014447497155205921,0.02095687901799763,0.01659775997708958,0.01526988913061878,0.02023899576519099,0.013070657474767914,0.016040166864527847,0.016329592657535634,0.017173567515870687,0.013316470154123123,0.01634414757129281,0.00262310012978826
SEC_L10toL13,0.0034954664460153683,0.013809962557616448,0.013911552622953717,0.016768939745385,0.012581070036980337,0.007840448516520574,0.017913751032479917,0.011663118421321103,0.016378171330187125,0.00416591875993388,0.011852839946939347,0.005110446586490167
SEC_L14,0.17065718906128471,0.1914864938708031,0.11149448199420581,0.11513562828053235,0.10893678923014186,0.1782797855837116,0.1195837272923189,0.11671007217243784,0.12502944154739065,0.2011425894329676,0.14384561984657945,0.036856598610308454
SEC_L15,0.013982486594590362,0.010475278345132746,0.01620577102885258,0.01829590909163179,0.014793368765612516,0.012072814339858783,0.014234688697152989,0.01941521832592773,0.013717458115962174,0.013141423990910452,0.014633441729563212,0.0027135846632163527
age45orOver,0.007814922816079074,0.015425838584085137,0.014706356344142139,0.01833377330727629,0.018371611615206136,0.010842052784958332,0.015665375601082922,0.012301182818318622,0.0178616981215119,0.011907820047327709,0.014323063203998825,0.0035364456612948527
disabled,0.010090561814284738,0.013125953104245369,0.01310491287139181,0.013445183719007062,0.011115160121817179,0.010641968285030641,0.016037573003448158,0.011402838378593419,0.01152432510503936,0.01036070232416203,0.012084917872701977,0.0018363718924637655
ethnicityWhite,0.016297893377253445,0.02307963749335594,0.028251562905443194,0.02220765681359134,0.025814217511651045,0.024204525423746456,0.035918497540367085,0.02742020726723966,0.026208000087987945,0.014827099591517835,0.024422929801215392,0.006016348857097448
male,0.008854689516184266,0.013785563501580783,0.0118946595461381,0.013245178255985346,0.012311706512225826,0.011887781175480453,0.01159423412207752,0.011386105273230586,0.013390910672255497,0.011809473486429252,0.012016030206158762,0.0013849352343955335
good_health,0.00638023827735286,0.006320753210068423,0.013079272187256682,0.011133592084119365,0.013725425897993282,0.0073691330898144015,0.01451287890423495,0.018776934428917428,0.011889250829058031,0.008135033368842397,0.011132251227765781,0.004080234656696487
facilities_per1000,0.013328390119198013,0.02579223527928493,0.028579715389175638,0.029357910097493195,0.02926358680151692,0.021214184963354105,0.022210928343248424,0.02524613369534423,0.04144167904828434,0.023986454238061405,0.02604212179749612,0.007222694430836466
