cluster,fold,mtry,rmse,train_n,test_n
2,7,1,3.1833706412124454,239,15
2,7,7,3.125406121557113,239,15
2,7,13,3.251958844143025,239,15
2,7,19,3.2317182851645105,239,15
2,7,25,3.192899239353896,239,15
2,7,32,3.0794485635147906,239,15
2,8,1,3.8532964920175576,173,76
2,8,7,3.687351737804452,173,76
2,8,13,3.5424801890765765,173,76
2,8,19,3.4909180481003266,173,76
2,8,25,3.4423758884480398,173,76
2,8,32,3.2992626888642254,173,76
2,9,1,3.1982458176319093,249,7
2,9,7,2.8114627852520266,249,7
2,9,13,3.314746598373484,249,7
2,9,19,3.1719273636071796,249,7
2,9,25,3.479200862882977,249,7
2,9,32,3.7289689388814846,249,7
3,0,1,3.694673772999294,196,54
3,0,7,3.6057465655790675,196,54
3,0,13,3.309257015499034,196,54
3,0,19,3.3018072109017664,196,54
3,0,25,3.4368573006454466,196,54
3,0,32,3.4710698247829135,196,54
3,1,1,2.7485835536235674,231,16
3,1,7,2.7078975251798094,231,16
3,1,13,2.6458437739688963,231,16
3,1,19,2.4828974636500654,231,16
3,1,25,2.5901750959153227,231,16
3,1,32,2.5705271136237773,231,16
3,2,1,4.513504251995089,243,18
3,2,7,3.6752811337668088,243,18
3,2,13,3.5217529764624596,243,18
3,2,19,3.5303753747536004,243,18
3,2,25,3.584127669787075,243,18
3,2,32,3.606623380824672,243,18
3,3,1,2.8126553118104507,211,36
3,3,7,2.626023746983684,211,36
3,3,13,2.5989847679751117,211,36
3,3,19,2.661603780096167,211,36
3,3,25,2.6654552849059954,211,36
3,3,32,2.75101555086682,211,36
3,4,1,3.00095456791596,231,23
3,4,7,2.786112809991729,231,23
3,4,13,2.740114356785292,231,23
3,4,19,2.657838119354834,231,23
3,4,25,2.6427154381348945,231,23
3,4,32,2.65504332724821,231,23
3,5,1,3.1038712395974035,239,15
3,5,7,3.1888157135003308,239,15
3,5,13,3.1551661488211153,239,15
3,5,19,3.1067506643866127,239,15
3,5,25,3.2165091793226193,239,15
3,5,32,3.246727039445516,239,15
3,6,1,3.2561974385916623,211,33
3,6,7,3.229295271370672,211,33
3,6,13,3.3437308820410707,211,33
3,6,19,3.3270895827306965,211,33
3,6,25,3.326011446344133,211,33
3,6,32,3.447679775566251,211,33
3,7,1,2.6058432000506078,210,40
3,7,7,2.506039493753042,210,40
3,7,13,2.652807673202112,210,40
3,7,19,2.5762295004521656,210,40
3,7,25,2.6518814336240677,210,40
3,7,32,2.6776847968441015,210,40
3,8,1,4.414907057515474,233,20
3,8,7,4.111179710192672,233,20
3,8,13,4.1591342436257035,233,20
3,8,19,4.129944138968466,233,20
3,8,25,4.145482367650344,233,20
3,8,32,4.072895207588812,233,20
3,9,1,3.6149569493583615,249,7
3,9,7,3.4398584715487552,249,7
3,9,13,3.364584248780651,249,7
3,9,19,3.407375206393157,249,7
3,9,25,3.7344029270324595,249,7
3,9,32,3.7685781723918756,249,7
4,0,1,3.0232568402504607,226,33
4,0,7,2.99912519811018,226,33
4,0,13,3.0177557458843762,226,33
4,0,19,2.9320582340014627,226,33
4,0,25,3.053548534380647,226,33
4,0,32,3.0576217257664235,226,33
4,1,1,3.6765099172701357,202,56
4,1,7,3.565188793488247,202,56
4,1,13,3.3542459238254865,202,56
4,1,19,3.387973631227488,202,56
4,1,25,3.325464420466052,202,56
4,1,32,3.3528498512725697,202,56
4,2,1,2.7561874208768917,248,20
4,2,7,2.7020114366893457,248,20
4,2,13,2.7925303167557547,248,20
4,2,19,2.6769705692255985,248,20
4,2,25,2.6962567540017353,248,20
4,2,32,2.6469153442261826,248,20
4,3,1,4.796402830038357,266,10
4,3,7,3.966860466540252,266,10
4,3,13,3.623027254796739,266,10
4,3,19,3.7700841678933235,266,10
4,3,25,3.8311255725961275,266,10
4,3,32,3.9254899847025486,266,10
4,4,1,2.8867926694153945,222,42
4,4,7,2.738191512746356,222,42
4,4,13,2.7114915252363554,222,42
4,4,19,2.7057033127574575,222,42
4,4,25,2.802357587987731,222,42
4,4,32,2.898589483491849,222,42
4,5,1,4.574205535620944,246,19
4,5,7,4.377369219183211,246,19
4,5,13,4.217224305405791,246,19
4,5,19,4.293981724337838,246,19
4,5,25,4.295821586268759,246,19
4,5,32,4.294971537617843,246,19
4,6,1,3.583654105646763,224,37
4,6,7,3.2189143618491762,224,37
4,6,13,3.4525875504878667,224,37
4,6,19,3.390722125790364,224,37
4,6,25,3.490443392766613,224,37
4,6,32,3.4764485319266734,224,37
4,7,1,3.797695237211227,247,19
4,7,7,3.466230400290018,247,19
4,7,13,3.6016247235029004,247,19
4,7,19,3.505205949726767,247,19
4,7,25,3.5657581144901864,247,19
4,7,32,3.4777123905022087,247,19
4,8,1,2.5085885390660105,249,18
4,8,7,2.2502019285931785,249,18
4,8,13,2.3322179760429322,249,18
4,8,19,2.2312989370917284,249,18
4,8,25,2.071362166412343,249,18
4,8,32,2.162236543746108,249,18
4,9,1,2.389246436640627,237,22
4,9,7,2.046507395540023,237,22
4,9,13,1.9460958197235438,237,22
4,9,19,1.9813476086652766,237,22
4,9,25,2.0721722753275906,237,22
4,9,32,2.1482013918624943,237,22
5,0,1,2.894930524094374,227,30
5,0,7,3.0529153244071545,227,30
5,0,13,2.9204261634220545,227,30
5,0,19,2.9744288457338075,227,30
5,0,25,2.9963615182417542,227,30
5,0,32,2.9458816596507638,227,30
5,1,1,2.96034029354735,240,25
5,1,7,2.7136337118336353,240,25
5,1,13,2.9062159336842113,240,25
5,1,19,2.895748442043952,240,25
