local_authority,IMD,five_a_day,active,pop_density,age45orOver,ethnicityWhite,male,facilities_per1000
Kingston upon Thames,11.38,35,73.52,4809.58,39.89,68.33,48.21,1.85
Kirklees,25.15,31.64,67.86,1080.01,43.6,73.63,49.02,1.88
Knowsley,43.01,22.01,61.73,1763.08,44.01,95.29,47.79,1.76
Lambeth,25.42,36.88,69.68,11998.37,31.33,55.02,48.46,0.89
Lancaster,24.16,35.55,76.26,257.22,45.7,93.09,48.93,2.38
Leeds,27.3,29.28,69.06,1447.8,38.87,79.04,48.82,2.09
Leicester,30.88,27.03,57.02,4828.98,33.82,40.88,49.41,1.41
Lewes,15.76,39.38,75.5,354.45,54.5,94.19,48.16,2.32
Lewisham,26.66,38.64,74.01,8687.03,33.78,51.49,47.49,0.95
Lichfield,12.57,35.27,69.87,318.86,51.85,94.81,49.27,2.39
Lincoln,26.89,26.89,68.77,2803.44,36.24,92.15,49.51,1.89
Liverpool,42.41,26.32,64.94,4474.77,38.73,84.03,48.68,1.43
Luton,25.91,24.58,56.39,4925.3,34.01,45.19,50.09,1.66
Maidstone,16.5,35.79,71.56,440.17,45.27,89.81,49.47,2.22
Maldon,14.17,33.32,74.14,182.29,54.46,96.86,48.92,2.52
Malvern Hills,16.07,33.49,74.85,137.67,57.23,96.6,48.61,3.16
Manchester,40,27.66,63.62,4805.58,29.34,56.82,49.65,1.34
Mansfield,28.5,30.65,62.75,1425.39,46.34,94.78,49.23,1.88
Medway,23.94,24.87,66.07,1453.61,41.92,84.26,49.01,1.72
Melton,12.53,35.86,68.51,106.76,53.11,96.89,48.8,2.96
Mendip,16.6,38.21,73.15,157.27,52.65,96.78,48.57,2.85
Merton,14.65,32.97,66.76,5489.5,37.13,60.23,48.63,1.52
Mid Devon,16.93,41.65,72.44,91.23,52.18,97.85,48.84,2.62
Mid Suffolk,13.23,42.88,68.62,120.38,53.92,96.85,49.31,2.83
Mid Sussex,7.75,37.1,78.05,455.48,48.16,92.24,48.55,2.89
Middlesbrough,40.46,28.9,56.5,2622.47,40.95,82.37,49.25,1.89
Milton Keynes,17.98,27.91,67.5,875.51,38.54,71.8,49.32,2.12
Mole Valley,9.51,42.94,79.14,338.91,53.29,92.75,48.64,2.97
New Forest,13.01,37.68,74.65,238.53,57.64,96.78,48.09,2.49
Newark and Sherwood,19.23,35.62,68.31,189.04,50.5,96.27,49.2,2.75
Newcastle upon Tyne,29.79,32.11,67.07,2704.76,36.72,79.97,49.42,1.84
Newcastle-under-Lyme,18.93,31.71,62.22,614.39,48.48,92.88,49.03,2.13
Newham,29.58,25.89,63.91,9807.58,27.76,30.75,49.94,0.8
North Devon,20.56,40.56,72.48,90.39,53.98,96.99,48.69,2.31
North East Derbyshire,17.4,30.57,68.87,370.88,53.3,97.42,48.76,2.13
North East Lincolnshire,31.34,30.03,63.96,830.69,48.03,96.22,48.94,2.33
North Hertfordshire,11.63,36.01,74.18,355.55,46.55,87.55,48.6,3.02
North Kesteven,11.55,35.93,64.66,128.08,51.43,97.16,49,2.28
North Lincolnshire,22.1,27.2,58.91,204.12,49.83,94.33,49.33,2.58
North Norfolk,21.06,41.31,64.69,109.17,61.93,98.08,48.84,2.73
North Northamptonshire,19.66,29.43,67.8,355.21,44.82,90.3,49.25,1.87
North Somerset,15.83,34.18,71.77,576.73,51.12,95.71,48.59,2.38
North Tyneside,22.28,28.66,64.05,2535.12,47.85,94.85,48.49,1.88
North Warwickshire,17.91,30.87,68.83,230.25,50.84,96.13,49.07,3.35
North West Leicestershire,14.57,31.67,66.09,375.22,48.07,95.94,49.31,2.41
Northumberland,22.08,34.68,70.12,64.6,54.58,97.65,48.84,3
Norwich,27.6,31.87,77.34,3643.14,36.26,87.15,49.38,1.64
Nottingham,34.89,25.63,67.02,4518.04,32.26,65.95,49.13,1.79
Nuneaton and Bedworth,23.54,31.81,56.67,1651.31,45.22,87.14,49.12,1.88
Oadby and Wigston,12.96,27.18,57.62,2436.44,46.86,63.37,48.48,2.46
Oldham,33.15,24.2,62.66,1669.15,40.15,68.11,48.88,1.55
Oxford,16.71,43.41,75.9,3324.52,31.62,70.7,49.14,2.77
Pendle,30.72,27.57,60.05,544.07,42.92,70.57,49.46,1.85
Peterborough,27.82,30.62,61.52,590.1,37.5,75.38,49.43,1.84
Plymouth,26.62,35.92,66.3,3292.34,43.45,93.97,49.08,1.84
Portsmouth,26.9,36.27,67.49,5312.66,38.28,85.23,49.6,1.58
Preston,29.53,28.18,63.04,1013.02,38.73,72.6,49.88,1.71
Reading,19.62,30.8,66.13,3968.88,34.41,67.09,49.85,1.8
Redbridge,17.2,28.07,63.99,5418.37,35.45,34.8,49.42,1.21
Redcar and Cleveland,29.79,30.97,65.28,560.35,51.23,97.7,48.4,2.21
Redditch,22.52,30.29,58.43,1577.3,43.78,89.82,49.39,1.71
Reigate and Banstead,11.28,36.89,75.86,1155.72,44.3,84.41,48.94,2.15
