local_authority,active,BNG_E,BNG_N,LONG,LAT,GlobalID,geometry
Kingston upon Thames,73.52,519508,167389,-0.28367,51.393,c6a2a240-3be1-4a39-b5f7-3d33736fad5e,"POLYGON ((521670.4071000004 171845.76060000062, 522577.9928000001 167051.39350000024, 522231.1014999999 166014.99799999967, 521110.5976999998 165939.99950000085, 519460.2002999997 164193.1995000001, 518090.2999 160916.3975000009, 516401.5959999999 160201.8019999992, 516362.5968000004 162360.5041000005, 517897.49739999976 165729.49980000034, 517139.4960000003 167412.49799999967, 517738.1601999998 168344.1342999991, 517530.9681000002 171709.79849999957, 518931.89800000004 171384.10109999962, 519236.7896999996 170411.56540000066, 521450.6765999999 172366.77470000088, 521670.4071000004 171845.76060000062))"
Kirklees,67.86,414586,416223,-1.78085,53.6423,70d2a85c-a8f2-482e-9082-63b0b67871cb,"POLYGON ((421089.5965999998 428946.1049000006, 422623.59839999955 427728.10349999927, 423978.4020999996 427987.4992999993, 424952.4983999999 424745.7971999999, 427009.30310000014 424755.9043000005, 428408.6961000003 423414.2982999999, 426613.80399999954 422666.9023000002, 426346.30119999964 421818.7949999999, 427046.70270000026 421507.1042999998, 425515.2980000004 420190.90100000054, 427150.49980000034 418317.6972000003, 424889.5968000004 417524.1043999996, 425649.09889999963 414293.8990000002, 427460.80260000005 412368.2002000008, 427368.69710000046 410844.7962999996, 426460.60250000004 410202.40020000003, 426835.0025000004 409006.00269999914, 425556.59750000015 407445.89919999987, 423397.6035000002 407342.09889999963, 421995.90189999994 406337.6963999998, 418434.49729999993 407067.8973999992, 417224.6994000003 404965.4991999995, 415217.8021 404155.6010999996, 413068.9001000002 404500.90220000036, 411883.9034000002 402726.3002000004, 410585.19909999985 402591.6986999996, 408481.19969999976 404870.59640000015, 407115.9989 404109.8041999992, 406087.1967000002 404640.1023999993, 405869.0982999997 406114.30040000007, 403891.0998999998 407224.6026000008, 399470.8979000002 413357.6970000006, 401900.0991000002 414358.70050000027, 404450.1974999998 416871.00129999965, 407065.2999999998 416549.5033999998, 410433.90220000036 418858.70240000077, 409763.9992000004 419571.0984000005, 411611.7008999996 419321.39990000054, 416783.3990000002 422044.70040000044, 417847.10259999987 420466.20219999924, 417530.5005000001 424122.1956999991, 416353.09750000015 425521.79509999976, 415267.6023000004 425561.8036000002, 415870.00289999973 426497.5956999995, 416860.10280000046 426483.69969999976, 416767.89829999954 427854.5973000005, 417655.5038999999 427869.4031000007, 418923.60250000004 429603.29670000076, 421089.5965999998 428946.1049000006))"
Knowsley,61.73,344762,393778,-2.83297,53.4379,4127c93b-0225-4506-bc6c-c5eda165ca6c,"POLYGON ((345355.2969000004 399036.59640000015, 345746.7971000001 396993.90110000037, 346696.8013000004 397021.50320000015, 347286.90029999986 394343.7996999994, 346619.60280000046 393842.8030999992, 348520.0976 392489.6004000008, 347786.1964999996 389660.50019999966, 350553.1978000002 389731.7997999992, 349698.30040000007 387364.4975000005, 348433.6975999996 387413.80340000056, 347696.20160000026 384666.0998999998, 345588.6980999997 383767.49709999934, 344150.00090000033 383709.7036000006, 343300.0999999996 385520.3953000009, 343142.8996000001 387224.6974999998, 345421.00179999974 387403.99620000087, 344432.19629999995 389537.79539999925, 343160.7997000003 389020.90330000035, 340776.1961000003 390808.3016999997, 342546.7982000001 391625.3978000004, 342460.59609999973 395074.9003999997, 340332.80140000023 397311.50019999966, 339393.4003999997 396861.2990000006, 338860.9013 397978.3992999997, 341198.69770000037 401158.2990000006, 342697.69930000044 399833.39829999954, 343715.4036999997 399938.1983000003, 344062.8010999998 398931.6963999998, 345355.2969000004 399036.59640000015))"
Lambeth,69.68,531118,175629,-0.11385,51.4645,b3212b1e-7ab1-48d7-899d-2cdbb316f329,"POLYGON ((533716.1259000003 170817.3504000008, 533699.4496999998 170735.58369999938, 531320.7297999999 171048.77040000074, 530302.4244999997 169806.65130000003, 528886.4987000003 169832.3303999994, 529404.2960000001 170556.8401999995, 529650.8729999997 173090.32789999992, 529114.6142999995 173061.47369999997, 528518.9928000001 175719.40799999982, 529972.1586999996 177985.0957999993, 531155.1600000001 180673.11500000022, 531312.4159000004 180688.26549999975, 531463.2762000002 177402.02930000052, 532767.2668000003 175851.1936000008, 532020.1360999998 174258.15660000034, 533716.1259000003 170817.3504000008))"
Lancaster,76.26,356896,464988,-2.6603,54.079,42e5a755-d41e-40bf-9dde-a96a5786ce6c,"POLYGON ((370052.1984000001 481319.2031999994, 365227.30399999954 473672.8019999992, 363491.0014000004 473169.8958999999, 363191.20270000026 470277.60390000045, 365826.29949999973 466650.40210000053, 366774.2012 466732.79849999957, 369714.2002999997 464470.8959999997, 369352.2999 461239.0011, 367860.7023 460566.2037000004, 367245.49710000027 458420.6978999991, 365553.70129999984 459044.09940000065, 364246.39740000013 457700.1041000001, 362603.4040000001 457773.8029999994, 362035.3027999997 456164.5036999993, 363529.2006999999 453347.80000000075, 359612.6978000002 450854.5036999993, 357902.5979000004 451467.8980999999, 357554.2028000001 450506.7031999994, 354949.49729999993 450618.1012999993, 354015.2000000002 449943.4045000002, 353163.3037999999 454034.3035000004, 351872.49820000026 453411.30179999955, 351442.69969999976 451449.6032999996, 350525.2965000002 450955.7047000006, 350374.50260000024 452156.60089999996, 347860.50100000016 453559.69930000044, 346693.0003000004 450276.7990000006, 347333.7982000001 449146.20270000026, 343326.20380000025 447226.6020999998, 341981.0963000003 449330.6997999996, 342360.30319999997 450285.39660000056, 341999.9837999996 450624.3548000008, 342973.70270000026 450958.90359999985, 341910.4031999996 451729.9031000007, 342914.4455000004 451525.8312999997, 343549.10080000013 452401.60080000013, 344660.6009999998 452473.99990000017, 342907.00019999966 453038.10840000026, 342432.70299999975 454029.3048999999, 343979.5999999996 456287.8998000007, 345508.49909999967 456151.4986000005, 345559.15780000016 457365.34559999965, 343694.00009999983 456766.8007999994, 342979.4650999997 456865.2820999995, 342329.90359999985 455181.19519999996, 342144.5959000001 455771.1961000003, 341224.60369999986 455378.69849999994, 340906.8968000002 458660.99909999967, 339999.98979999963 459510.2390999999, 339557.6002000002 459924.4988000002, 339658.7178999996 459996.59889999963, 339675.1171000004 459999.9996000007, 340000.00430000015 460067.3714000005, 340336.16000000015 460137.0800000001, 340000.00239999965 460144.4554999992, 339870.07930000033 460147.3060999997, 340000 460239.9436000008, 340759.7966 460781.7019999996, 342352.75820000004 464408.0072000008, 343161.3108000001 464827.1992000006, 344667.42480000015 464955.1425999999, 346487.3013000004 466185.99990000017, 346837.1233999999 466861.5370000005, 346091.80009999964 466057.0999999996, 346020.4996999996 467435.59899999946, 348807.5999999996 471300.99980000034, 346501.89630000014 469951.8970999997, 345474.9001000002 473083.1998999994, 343679.99990000017 473751.4000000004, 343343.7889999999 476001.9550999999, 345446.8005999997 475698.7020999994, 347972.30399999954 478292.09970000014, 349964.09640000015 476959.5011999998, 352170.59839999955 476729.7969000004, 352015.89630000014 475052.89690000005, 355703.4009999996 474137.69889999926, 358350.7993999999 478665.30289999954, 359323.40330000035 477935.90169999935, 362512.5022 477911.69859999977, 370144.79860000033 482748.7039999999, 370052.1984000001 481319.2031999994))"
Leeds,69.06,432528,436384,-1.50736,53.8227,de3017af-03a6-43be-934a-dbae7b933a66,"POLYGON ((445186.80179999955 445609.4949999992, 444629.6995000001 445131.80179999955, 445302.80150000006 441228.1992000006, 442656.9036999997 440250.1991000008, 444411.40330000035 438449.80450000055, 443790.79750000034 437683.6038000006, 445946.5016999999 435806.7009999994, 445213.40029999986 435023.09530000016, 445313.39609999955 431908.3969999999, 446877.30310000014 429880.69710000046, 446585.50210000016 429017.5041000005, 445444.6001000004 429053.70409999974, 445252.1030000001 427693.5031000003, 446132.29590000026 427484.40330000035, 439710.9020999996 424931.7039999999, 436837.3004999999 425900.5965999998, 433858.9040999999 425825.9979999997, 433372.99789999984 425216.3025000002, 432399.50349999964 426030.7993999999, 429192.70249999966 422593.40330000035, 428408.6961000003 423414.2982999999, 427009.30310000014 424755.9043000005, 424952.4983999999 424745.7971999999, 423978.4020999996 427987.4992999993, 422623.59839999955 427728.10349999927, 421089.5965999998 428946.1049000006, 423196.8032999998 430260.9985000007, 423794.00129999965 431541.9017999992, 421564.7017000001 431566.90469999984, 421031.8975999998 432277.7011999991, 419074.89940000046 431897.2000999991, 420153.1967000002 440187.19710000046, 418821.00100000016 441150.40139999986, 415847.8979000002 440846.19849999994, 413216.00019999966 443325.39880000055, 414064.2026000004 444544.59979999997, 416113.1991999997 443194.3962999992, 418145.49959999975 443311.2028999999, 418692.9963999996 444044.6030000001, 417706.2028000001 444450.3968000002, 418017.7012 446037.5024999995, 418626.59889999963 445855.80450000055, 419336.20189999975 447036.79649999924, 420815.2999 446092.59669999965, 422755.09889999963 446312.6038000006, 422982.8027999997 445554.80069999956, 425029.8041000003 445312.89990000054, 426375.5959000001 446030.3046000004, 427202.6991999997 445086.1048000008, 427451.19710000046 445982.7982000001, 429543.49679999985 445288.5968999993, 429738.30289999954 446177.0025999993, 433020.2000000002 446687.7963999994, 435397.00370000023 445671.29729999974, 437345.09729999956 446219.4003999997, 437356.50019999966 448047.7971000001, 439056.0959000001 448129.90359999985, 439667.79700000025 449769.1042999998, 443391.2006000001 450175.29810000025, 443115.0982999997 449462.1021999996, 445598.7002999997 448920.6972000003, 445476.59920000006 447770.4964000005, 446446.0039999997 448110.0991999991, 445589.9028000003 447481.89910000004, 446253.39940000046 447509.30120000057, 446046.7039000001 445927.6040000003, 445186.80179999955 445609.4949999992))"
Leicester,57.02,458946,304594,-1.1304,52.6359,3a8f5f49-8c15-4256-bc36-81ee6df4cf3f,"POLYGON ((464453.3987999996 306785.7028999999, 464594.9994999999 304520.7011999991, 463026.5003000004 302658.60419999994, 461260.1031999998 302460.9008000009, 460812.09949999955 300165.79780000076, 459690.90309999976 300333.59979999997, 458115.29669999983 299255.6983000003, 457726.3030000003 298472.2026000004, 456948.8019000003 298630.6972000003, 457144.8035000004 299555.40249999985, 456035.60369999986 299776.6992000006, 456596.6966000004 302025.39550000057, 453156.7993999999 304373.30340000056, 453737.69689999986 305275.6951000001, 454863.4034000002 305044.1013999991, 455201.0963000003 307300.69549999945, 455667.6019000001 309240.7000999991, 457057.1997999996 310757.2960000001, 458008.4983999999 310282.80179999955, 458986.6018000003 307872.90169999935, 459680.2011000002 308748.7009999994, 462642.29700000025 308389.7037000004, 464453.3987999996 306785.7028999999))"
Lewes,75.5,541474,105686,0.007671,50.8334,9ffad426-db93-4c8a-abf0-0582a768a200,"POLYGON ((551742.7708999999 97617.46460000053, 551629.7998000002 97672.50039999932, 549773.9002999999 97570.5998999998, 548389.8846000005 98357.92950000055, 546004.1979 100000.01439999975, 545907.5120000001 100066.56399999931, 545429.2884999998 100042.13360000029, 545047.9327999996 100259.07670000009, 545097.3767999997 100025.17769999988, 545029.2999999998 100021.69999999925, 545034.5652000001 100000.01459999941, 545179.6294999998 99402.55350000039, 543497.1546 100000.01970000006, 539999.9956 101241.90100000054, 538364.2084999997 101822.78779999912, 539862.3979000002 103579.10009999946, 539529.8992999997 104344.10109999962, 537731.0991000002 104295.59500000067, 538316.4983999999 106471.30220000073, 535739.8014000002 106404.1015000008, 534839.3004999999 109927.30299999937, 533939.5994999995 110440.99589999951, 532244.2994999997 109895.00219999999, 531282.4966000002 110391.00019999966, 531277.7969000004 111339.89860000089, 532195.0022999998 117561.29770000093, 533276.0039999997 118049.09809999913, 532416.1018000003 121320.60170000046, 535290.8000999996 123130.40359999985, 536173.5987999998 121678.69920000061, 538765.2028999999 121925.99840000086, 539273.0986000001 124441.99819999933, 540717.0974000003 123495.69899999909, 541283.3022999996 121726.19559999928, 542405.1004999997 122122.60209999979, 543271.9038000004 120557.00019999966, 544288.8991 120721.70309999958, 543981.1026999997 118339.0951000005, 544681.801 116086.30000000075, 549256.6968 115012.89719999954, 547241.2988 111579.89990000054, 547753.9024999999 109930.40210000053, 548887.4006000003 110039.10089999996, 549824.6990999999 108517.09659999982, 547871.0977999996 104406.10339999944, 549454.199 101548.50139999948, 551182.3968000002 101435.10380000062, 551742.7708999999 97617.46460000053))"
Lewisham,74.01,537888,173343,-0.01734,51.4423,b0b0adaf-4a07-4b00-a2cf-e86fe6d4906d,"POLYGON ((537438.5822000001 177936.1894000005, 537625.0955999997 177329.2156000007, 537413.7002999997 177008.20109999925, 537656.7679000003 177226.14379999973, 537969.0746999998 176209.7985999994, 540245.0318 176915.8180999998, 539733.4641000004 175295.37769999914, 541136.7414999995 173365.4252000004, 541675.6825000001 171234.12460000068, 540903.4869999997 171942.1601999998, 538463.4151999997 170162.10500000045, 537043.1971000005 171470.79629999958, 534004.2904000003 171449.00789999962, 534782.4035 173870.1467000004, 536161.6360999998 174710.1015000008, 535207.767 178349.4182999991, 536697.0406999998 178949.55089999922, 537238.7039999999 178137.6978999991, 537438.5822000001 177936.1894000005))"
Lichfield,69.87,416283,310967,-1.76049,52.6962,5dae7817-c7ed-4827-855a-be6f18e0b34c,"POLYGON ((420074.00289999973 314976.8981999997, 423290.4013 313842.0030000005, 423408.39630000014 311289.6037000008, 427293.1969999997 311490.29619999975, 427835.10369999986 310029.3044000007, 424113.3985000001 306700.7971999999, 421455.60309999995 305545.9977000002, 418874.09920000006 305995.6989999991, 418063.19739999995 305237.1961000003, 418280.1002000002 303924.6019000001, 420259.2034999998 302048.29890000075, 420982.50150000025 302235.7952999994, 420393.49899999984 299274.90279999934, 418435.70100000035 298935.7999000009, 417545.8032999998 299643.5973000005, 414453.9961000001 298914.69590000063, 413878.2023 300165.59789999947, 411735.3026999999 301227.8037999999, 409988.0011 300467.9013, 408730.9013 298576.70270000026, 407393.70079999976 300154.9009000007, 407809.30140000023 301964.20299999975, 405782.5005000001 304172.2009999994, 406519.0976999998 305054.29849999957, 405643.2991000004 305797.09589999914, 406125.19820000045 306532.49540000036, 404589.80289999954 307099.2030999996, 403789.9001000002 306507.7025000006, 403169.3025000002 307212.8005999997, 402851.3976999996 309605.0957999993, 405804.8032999998 312554.3015999999, 404305.10089999996 313179.50269999914, 406117.1014999999 317065.7003000006, 406059.99619999994 317964.5030000005, 403878.50150000025 319574.0022999998, 402919.7988 322324.5048999991, 403377.9025999997 323319.0002999995, 406708.80009999964 321975.7048000004, 407521.40029999986 322538.8036000002, 409962.30119999964 320534.99719999917, 410726.50289999973 322050.60339999944, 412380.0005000001 321742.3015999999, 412945.3973000003 320633.2991000004, 411673.29980000015 319061.49899999984, 412412.19739999995 317522.49950000085, 414234.4961000001 317371.2028000001, 414666.6032999996 316484.4966000002, 415813.9035 317044.5963000003, 416935.00100000016 315751.39650000073, 420074.00289999973 314976.8981999997))"
Lincoln,68.77,496347,370096,-0.55848,53.2192,6d6007d8-06a2-457f-b7d7-5ec4eaa6dd3f,"POLYGON ((500563.7982999999 370855.60309999995, 498237.0007999996 369943.70409999974, 497644.2962999996 368423.99909999967, 497021.29949999973 368623.90190000087, 496797.8005999997 366445.19549999945, 496022.19600000046 366504.8984999992, 492281.7002999997 368774.2988000009, 492523.6021999996 370320.6962000001, 495506.7971999999 371236.30409999937, 493845.1041000001 372934.7979000006, 499217.39630000014 374023.6962000001, 500452.90220000036 373293.8950999994, 500563.7982999999 370855.60309999995))"
Liverpool,64.94,339361,390553,-2.91364,53.4083,dd4f0cf7-0670-4bc2-910c-b5dabfacf93a,"POLYGON ((345588.6980999997 383767.49709999934, 345579.9994999999 382851.9991999995, 344666.1004999997 382586.3951999992, 344958.54849999957 381934.28250000067, 343190.00370000023 381503.3951999992, 341618.79980000015 382279.00019999966, 339999.97919999994 383562.9195000008, 335260.99980000034 387321.4997000005, 333501.29920000024 390856.1991000008, 333093.5083999997 393928.1002999991, 335341.5959999999 394502.5042000003, 335443.60390000045 396663.3957000002, 336621.7982999999 397786.5042000003, 338860.9013 397978.3992999997, 339393.4003999997 396861.2990000006, 340332.80140000023 397311.50019999966, 342460.59609999973 395074.9003999997, 342546.7982000001 391625.3978000004, 340776.1961000003 390808.3016999997, 343160.7997000003 389020.90330000035, 344432.19629999995 389537.79539999925, 345421.00179999974 387403.99620000087, 343142.8996000001 387224.6974999998, 343300.0999999996 385520.3953000009, 344150.00090000033 383709.7036000006, 345588.6980999997 383767.49709999934))"
Luton,56.39,508606,222559,-0.42319,51.891,7f3098a8-652b-444f-b4b6-53e6136989fb,"POLYGON ((511131.3033999996 225358.10129999928, 511733.0033 223452.39680000022, 513680.99789999984 221301.40249999985, 513353.1001000004 220771.70409999974, 512340.5982999997 220092.4985000007, 510537.2962999996 220326.80150000006, 508723.00349999964 218503.70329999924, 506419.3004999999 221540.20409999974, 502891.50270000007 223505.6015000008, 504501.6972000003 224338.00329999998, 504231.5971999997 225990.9001000002, 507629.99700000044 226615.2014000006, 508626.6023000004 226415.79849999957, 508838.89609999955 224932.00320000015, 511131.3033999996 225358.10129999928))"
Maidstone,71.56,580489,151670,0.584061,51.2357,ce76900c-81ff-425f-b1df-9b76c90f007d,"POLYGON ((581314.7971000001 162568.80450000055, 581555.1984000001 161730.80440000072, 582144.7038000003 162780.60390000045, 583950.9988000002 163047.59740000032, 585714.6008000001 162239.99860000052, 586522.5014000004 158299.4966000002, 589283.7971000001 159084.00200000033, 591448.1997999996 156845.20289999992, 592591.3033999996 156970.19710000046, 591950.5961999996 154644.70270000026, 592819.1968 154424.99560000002, 593810.8963000001 155596.60029999912, 594791.1021999996 155101.10209999979, 595038.6024000002 152470.90499999933, 594321.1007000003 152587.50159999914, 591865.2021000003 149150.49540000036, 589861.8996000001 149282.6975999996, 589412.0985000003 147978.60089999996, 587627.9002999999 146967.7003000006, 587762.3030000003 145588.70500000007, 586366.4966000002 144719.90369999968, 584733.7023999998 141315.09830000065, 584233.1035000002 141742.69590000063, 584749.5988999996 142560.40179999918, 583148.1030000001 142035.8019999992, 582032.8017999995 143191.80110000074, 581472.0964000002 142536.19879999943, 580213.4961000001 142804.60190000013, 580512.2971000001 141537.40469999984, 579138.1009999998 140299.19910000078, 579303.8020000001 141341.90059999935, 577321.3017999995 140259.50049999915, 574748.1995999999 141354.09710000083, 572830.4972999999 141099.10009999946, 572663.4029000001 142556.00310000032, 570704.5000999998 144751.0047999993, 568987.6969999997 145143.40249999985, 566677.2988999998 147039.69959999993, 567800.2019999996 147110.79930000007, 568306.8032999998 149698.1986999996, 566156.7965000002 151117.00249999948, 568246.6968 153185.10050000064, 569777.5986000001 152800.10080000013, 569784.7965000002 155140.10089999996, 572924.4993000003 155485.0022, 574323.4965000004 158259.6980000008, 573839.1980999997 159110.6043999996, 575163.0992999999 159363.60199999996, 576032.3019000003 162541.80220000073, 577337.6023000004 161827.59669999965, 578650.6035000002 163080.7979000006, 581314.7971000001 162568.80450000055))"
Maldon,74.14,591413,212072,0.773106,51.7746,b105d963-5219-41a7-9016-c762439bf424,"MULTIPOLYGON (((592644.8997 206301.09970000014, 591595.8000999996 205851.49990000017, 590340.4008 206459.10050000064, 591951.3000999996 206745.3998000007, 592644.8997 206301.09970000014)), ((588609.3015999999 205703.99719999917, 587323.4001000002 205680.19999999925, 588063.6023000004 207039.50489999913, 588609.3015999999 205703.99719999917)), ((587149.4971000003 215683.00070000067, 587529.1985999998 214461.6004000008, 590000.1032999996 214955.89890000038, 591668.9035999998 216198.9031000007, 593980.4972000001 214901.90430000052, 594303.8026 213815.0954, 593474.3989000004 213834.09999999963, 595796.4967 212789.49899999984, 597222.8015000001 213445.70109999925, 597873.1676000003 213247.69830000028, 599830.4009999996 211476.5047999993, 597456.4005000005 211666.80030000024, 597227.7980000004 212342.39690000005, 596202.9069999997 212069.48650000058, 599047.3000999996 210485.3992999997, 597281.9998000003 208870.30030000024, 596711.5993999997 208458.49860000052, 594367.1988000004 208169.1015000008, 592861.4033000004 208850.7963999994, 592645.3003000002 207894.90000000037, 591793.5029999996 208678.59569999948, 589036.6009 206952.6001999993, 587450.7962999996 207804.39599999972, 586955.5000999998 206255.4001000002, 585649.4978 207012.40259999968, 587395.9007000001 205117.49510000087, 591422.2032000003 204697.7951999996, 589344.7034 202263.90190000087, 590650.1026999997 202705.19559999928, 591291.9972000001 204067.69559999928, 593249.4983000001 204744.0019000005, 593058.9961999999 205842.39760000072, 594858.7034 206246.00200000033, 596076.3354000002 205700.3752999995, 598234.2813999997 206513.97690000013, 599897.0999999996 208884.1997999996, 600000.0251000002 208910.10490000062, 601780.2093000002 209358.15809999965, 602456.017 209321.09809999913, 603851.5 207681.60050000064, 603383.9046 199999.97369999997, 603185.5003000004 196740.6001999993, 601137.9028000003 195505.8964000009, 600000.0218000002 195413.17300000042, 598011.1001000004 195251.10029999912, 593528.0991000002 195556.40059999935, 591481.8017999995 196860.08239999972, 591406.9993000003 196915.20289999992, 589746.4027000004 196192.59979999997, 583409.9001000002 196410.3973999992, 581994.0005000001 196683.99909999967, 581232.0992 200645.1952999998, 580450.3025000002 201352.80269999988, 580643.6985999998 203231.3049999997, 579856.3035000004 204480.19749999978, 580447.9031999996 205899.60119999945, 578923.3006999996 206667.50139999948, 579090.4033000004 209487.50420000032, 579478.5972999996 208941.00060000084, 580803.8011999996 210340.99990000017, 582801.9011000004 210295.8027999997, 581765.9999000002 211885.19779999927, 582960.5031000003 212904.19620000012, 583468.102 215237.49829999916, 584753.0040999996 215837.69639999978, 585957.4013999999 217939.90469999984, 586801.5966999996 216833.0014999993, 587717.4993000003 215876.29539999925, 587149.4971000003 215683.00070000067)))"
Malvern Hills,74.85,377465,252197,-2.33089,52.1676,8bb225ab-3dde-4771-a896-cf95f2a22e32,"POLYGON ((381938.79789999966 269532.7963999994, 381327.0968000004 263824.30040000007, 382906.4960000003 263205.7974999994, 384269.39630000014 261326.99530000053, 383478.1013000002 258209.39770000055, 384047.20019999985 257050.99929999933, 383098.0039999997 256975.50090000033, 382190.9978 253775.69669999927, 382825.49650000036 253944.99829999916, 383191.0990000004 252393.80230000056, 384521.9012000002 251735.00100000016, 386186.7028000001 252134.99650000036, 387124.10030000005 249763.59530000016, 388810.2977999998 249404.5979999993, 386650.29789999966 247408.49939999916, 389907.5999999996 244999.99880000018, 389247.89609999955 242919.10449999943, 389817.30009999964 241905.3047000002, 389255.3002000004 240327.19639999978, 388070.9961000001 240043.49760000035, 388343.0996000003 238810.70050000027, 387703.80229999963 238162.0962000005, 387957.40390000027 236029.39660000056, 387216.8985000001 235644.29690000042, 388793.09860000014 233089.29820000008, 387687.4029000001 233478.0968999993, 387387.20019999985 232471.8049999997, 384949.20160000026 233027.59589999914, 382827.0959999999 229816.59500000067, 381509.29619999975 230085.39809999987, 379455.7977 229852.8047000002, 378623.20320000034 230938.50390000083, 377666.80090000015 230863.29539999925, 377806.2001 233952.10129999928, 375900.99739999976 235069.70130000077, 375985.09700000007 235939.50239999965, 376941.10360000003 243556.90190000087, 375976.5963000003 245074.29759999923, 376049.9031999996 249649.6978999991, 374145.50019999966 250825.80120000057, 371684.90189999994 249741.30169999972, 370333.00040000025 252304.89780000038, 371240.4024 252773.20380000025, 372224.30200000014 256135.2014000006, 373263.8969999999 256781.69639999978, 372505.49980000034 258213.59649999999, 373839.4023000002 258627.29810000025, 371206.1029000003 259979.6009999998, 368350.09619999956 259675.99789999984, 367682.8975999998 260457.3041999992, 368144.29949999973 262087.0976999998, 370891.2982000001 263690.9986000005, 369304.09920000006 265310.4949999992, 365770.80200000014 264484.7014000006, 366264.3019000003 262200.0954, 364197.8998999996 261230.8027999997, 363802.49980000034 261809.8970999997, 360898.59750000015 261771.39809999987, 357148.29849999957 260427.90259999968, 357214.3002000004 262740.10080000013, 359305.5033 264997.50459999964, 356448.69680000003 265551.1961000003, 354875.1020999998 267517.10339999944, 357958.10360000003 267827.5044999998, 360911.6989000002 268984.4034000002, 361738.29920000024 268261.6002999991, 361786.30200000014 270705.3007999994, 363367.3996000001 271920.3029999994, 365202.6018000003 271125.10060000047, 365123.1030000001 270247.3018999994, 367264.8976999996 270439.8967000004, 366838.1003999999 273148.00159999914, 367769.9983999999 274448.5993000008, 371845.59810000006 274546.90110000037, 371409.5992999999 270634.6009999998, 370507.4989 269482.60080000013, 374889.8973000003 269920.2954999991, 375331.79959999956 268587.7969000004, 377328.4978 269031.19999999925, 378912.8026999999 271429.70340000093, 379706.20019999985 269403.0035999995, 381431.6030000001 270127.19629999995, 381938.79789999966 269532.7963999994))"
Manchester,63.62,384591,397063,-2.23359,53.4701,0cb3efdc-bcb5-446a-a4b7-133692d0941e,"POLYGON ((384375.1969999997 404714.8010000009, 385603.2988 405272.30140000023, 387766.59669999965 403614.2960000001, 389835.70299999975 402382.59860000014, 388244.2991000004 401030.89550000057, 389281.00009999983 399582.00019999966, 388943.7028999999 398162.9964000005, 390350.2030999996 396777.10309999995, 389575.3981999997 395363.3978000004, 388615.4009999996 394593.9979999997, 388372.7982999999 392936.70240000077, 387571.99679999985 393334.0987, 385912.70299999975 391365.40220000036, 385964.1026999997 390036.1027000006, 383684.2030999996 388829.89800000004, 384071.9024 384769.40029999986, 383030.3037999999 384895.70409999974, 380031.69880000036 382620.49540000036, 380330.49980000034 383560.7962999996, 379198.6013000002 384549.20329999924, 380225.4000000004 384923.0963000003, 381092.7969000004 386635.0963000003, 378831.6961000003 390580.6967999991, 380306.10259999987 390211.40249999985, 381634.49739999976 391001.0965, 381913.8978000004 391778.0041000005, 380155.00370000023 393333.19889999926, 383253.2997000003 395938.9031000007, 382486.2039999999 397363.8951999992, 383830.89919999987 398845.30110000074, 383153.6004999997 400297.5954, 383834.8980999999 401745.7008999996, 383058.79870000016 402392.49569999985, 383747.5005000001 403646.1969000008, 382587.60170000046 403144.60050000064, 382317.4029000001 404562.50459999964, 383415.9994999999 405357.59699999914, 384375.1969999997 404714.8010000009))"
Mansfield,62.75,455047,363637,-1.17804,53.167,4928686c-5d21-47bc-b3e2-c2cc2dfa45cd,"POLYGON ((455123.7988999998 357827.80220000073, 450943.0005000001 360538.1963999998, 450855.80069999956 362040.2963999994, 449895.00380000006 362199.3008999992, 449576.0022999998 363293.39770000055, 450861.59700000007 364883.5025999993, 453761.7971999999 365601.2971000001, 452886.8973000003 369249.60280000046, 458594.30179999955 370089.1024999991, 459948.39639999997 371325.5985000003, 460527.7026000004 370554.79920000024, 459469.6963999998 367238.3984999992, 456709.1014999999 364558.1956999991, 459543.90189999994 362177.0973000005, 458283.60309999995 360847.69779999927, 458978.2001 358348.7030999996, 457173.70249999966 358646.69779999927, 455123.7988999998 357827.80220000073))"
